Nr,Nr per journal,Journal,Year,Volume,Issue,Title,Study,Design,Within or Between?,Empirical?,N,N unequivocal?,Power analysis conducted?,Include study?
71,6,JASP,2022,34,1,Parental communication and reflective practice among youth sport parents,1,4,,1,20,0,0,0
72,7,JASP,2022,34,1,Elite female soccer players’ dual career plans and the demands they encounter,1,,,1,11,1,,0
73,8,JASP,2022,34,1,Understanding elite youth athletes’ knowledge and perceptions of sport psychology,1,,,1,34,1,,0
74,9,JASP,2022,34,1,Third party interventions in coach-athlete conflict: Can sport psychology practitioners offer the necessary support?,1,,,1,16,1,,0
75,10,JASP,2022,34,1,A double-edged sword: The nature of team comedians in sport teams,1,,,1,40,1,,0
76,11,JASP,2022,34,2,The Athlete Gratitude Group (TAGG): Effects of coach participation in a positive psychology intervention with youth athletes,1,1,2,1,18,1,0,1
77,12,JASP,2022,34,2,Facilitating the development of shared athlete leadership: Insights from intercollegiate coaches,1,,,1,15,1,,0
78,13,JASP,2022,34,2,Examinations of change in inhibitory and initiatory Self-Control in the context of endurance running,1,3,,1,396,1,0,1
79,14,JASP,2022,34,2,"“The principles are good, but they need to be integrated in the right way”: Experimenting with creativity in elite youth soccer",1,,,1,1,0,,0
80,15,JASP,2022,34,2,Negotiating identity and the development of incremental mindset in a female adolescent sport context,1,,,1,28,1,,0
81,16,JASP,2022,34,2,What does it mean to be “mentally tough” as a NCAA division I collegiate coach?,1,,,1,12,1,,0
82,17,JASP,2022,34,2,Student-athlete disclosures of psychological distress: Exploring the experiences of university coaches and athletes,1,,,1,15,1,,0
83,18,JASP,2022,34,2,"The potential benefits of nonspecific goals in physical activity promotion: Comparing open, do-your-best, and as-well-as-possible goals in a walking task",1,1,2,1,82,1,1,1
84,19,JASP,2022,34,2,A systematic review of sport-based life skills programs for young people: The quality of design and evaluation methods,1,,,1,,,,0
85,20,JASP,2022,34,2,Elite figure skaters’ experiences of thriving in the coach-athlete relationship: A person-centered theory perspective,1,,,1,8,1,,0
86,21,JASP,2022,34,3,"“Think about what you’re doing and why you’re doing it”: Coach feedback, athlete self-regulation, and male youth hockey players",1,,,1,13,1,,0
87,22,JASP,2022,34,3,Mental toughness measures: A systematic review of measurement properties for practitioners,1,,,0,,,,0
88,23,JASP,2022,34,3,Psychological aspects of sport-related concussion: An evidence-based position paper,1,,,0,,,,0
89,24,JASP,2022,34,3,Self-talk and emotions in tennis players during competitive matches,1,3,,1,20,1,0,1
90,25,JASP,2022,34,3,Sport arbitration as an emergent process in a complex system: Decision-making variability is a marker of expertise in national-level football referees,1,,,1,8,1,,0
91,26,JASP,2022,34,3,Helping soccer players help themselves: Effectiveness of a psychoeducational book in reducing perfectionism,1,1,2,1,115,1,1,1
92,27,JASP,2022,34,3,Coincidence and conditions: An in-depth case study of a successful age group within a grassroots football club,1,,,1,,,,0
93,28,JASP,2022,34,3,Advancing elite athlete mental health treatment with psychedelic-assisted psychotherapy,1,,,0,,,,0
94,29,JASP,2022,34,3,The sisters of sport psychology: An examination of the professional black female experience,1,,,0,,,,0
95,30,JASP,2022,34,3,Implementation and evaluation of a standardized performance profile intervention with collegiate athletes: A comparison of the original and revised techniques,1,1,2,1,117,1,0,1
96,31,JASP,2022,34,3,Psychological support for the talent pathway: Qualitative process evaluation of a state sport academy’s psychology service,1,,,1,8,1,,0
97,32,JASP,2022,34,4,Implementing a pressure training program to improve decision-making and execution of skill among premier league academy soccer players,1,1,2,1,82,1,0,1
98,33,JASP,2022,34,4,An exploration of performance management processes used within Olympic sport programmes,1,,,1,13,1,,0
99,34,JASP,2022,34,4,Psycho-behavioral momentum: Golf matchplay players’ perspectives,1,,,1,8,1,,0
100,35,JASP,2022,34,4,“The relationship was a big success – the bond”: Exploring coaching strategies to foster life skills development in Eswatini,1,,,1,52,0,,0
101,36,JASP,2022,34,4,A grounded theory of the influences affecting youth sport experiences and withdrawal patterns,1,,,1,32,1,,0
102,37,JASP,2022,34,4,Pathway decisions during the student-athlete transition out of university in the United Kingdom,1,,,1,19,0,,0
103,38,JASP,2022,34,4,Athletes’ perspectives of preparation strategies in open-skill sports,1,,,1,19,1,,0
104,39,JASP,2022,34,4,Tripartite efficacy and behavior of clients working with a personal trainer,1,3,,1,273,1,0,1
105,40,JASP,2022,34,4,Tripartite efficacy and behavior of clients working with a personal trainer,2,3,,1,301,1,0,1
106,41,JASP,2022,34,4,Athlete perceptions of playing-up in youth soccer,1,,,1,17,1,,0
107,42,JASP,2022,34,4,Navigating the winds of change on the smooth sea - The interaction of feedback and emotional disruption on the talent pathway,1,,,1,8,1,,0
108,43,JASP,2022,34,5,The lived experience of sport-related concussion: A collaborative inquiry in elite sport,1,,,1,12,1,,0
109,44,JASP,2022,34,5,From superhero to human: A narrative analysis of digital news stories of retirement from the NFL due to injury,1,,,1,,,,0
110,45,JASP,2022,34,5,Emotion focused therapy with injured athletes: Conceptualizing injury challenges and working with emotions,1,,,0,,,,0
111,46,JASP,2022,34,5,Is self-regulation key in reducing running-related injuries and chronic fatigue? A randomized controlled trial among long-distance runners,1,1,2,1,425,1,1,1
112,47,JASP,2022,34,5,Applied psychology of sport injury: Getting to—and moving across—The Valley of death,1,,,0,,,,0
113,48,JASP,2022,34,6,“All they have seen is a model for failure:” Stakeholder’s perspectives on athletic talent development in American underserved communities,1,,,1,13,1,,0
114,49,JASP,2022,34,6,Reimagining positive youth development and life skills in sport through a social justice lens,1,,,0,,,,0
115,50,JASP,2022,34,6,Facilitating life skills transfer from sport to the classroom: An intervention assisting a high school teacher-coach,1,,,1,,,,0
116,51,JASP,2022,34,6,A season long investigation of social emotional learning associated with high school basketball participation,1,,,1,9,1,,0
117,52,JASP,2022,34,6,Mindful self-reflection to support sustainable high-performance coaching: A process evaluation of a  novel method development in elite sport,1,,,1,9,0,,0
118,53,JASP,2022,34,6,Mindful self-reflection to support sustainable high-performance coaching: A process evaluation of a  novel method development in elite sport,2,,,1,9,0,,0
119,54,JASP,2022,34,6,How women varsity athletes high in self- compassion experience unexpected stressors,1,,,1,7,1,,0
120,55,JASP,2022,34,6,Mental toughness in youth sport coaches: A phenomenological exploration,1,,,1,14,1,,0
121,56,JASP,2022,34,6,Maximum aerobic speed as a way to improve social interactions in rugby union,1,1,2,1,61,1,0,1
122,57,JASP,2022,34,6,Athletes’ motivational and emotional outcomes related to a Need-Supportive intervention in intensive training centers,1,?,,1,16,0,1,0
123,58,JASP,2022,34,6,"A retrospective investigation of the perceived influence of coaches, parents and peers on talented football players’ motivation during development",1,,,1,8,1,,0
124,59,JASP,2022,34,6,“It’s all about opportunity”: From professional contract to first-team regular,1,,,1,6,1,,0
125,60,JASP,2022,34,6,Psychosocial demands and situational properties of the club-to-international transition in male youth football,1,,,1,24,1,,0
126,61,JASP,2022,34,6,A longitudinal study on the psychological and physiological predictors of burnout in NCAA collegiate swimmers,1,3,,1,40,1,0,1
127,62,JASP,2022,34,6,The quest for professional self-understanding: Sense making and the interpersonal nature of applied sport psychology practice,1,,,1,6,1,,0
128,63,JASP,2022,34,6,The role of self-care and professional quality of life in sustaining a long-lasting career in sport psychology: A qualitative exploration,1,,,1,20,1,,0
129,64,JASP,2022,34,6,The what and the how of self-care for sport psychology practitioners: A delphi study,1,,,1,26,1,,0
130,65,JASP,2023,35,1,Black Student-Athletes and racism pandemic: Building antiracist practices in athletics,1,,,1,14,1,,0
131,66,JASP,2023,35,1,Negotiating white normativity in sport,1,,,1,7,1,,0
132,67,JASP,2023,35,1,Beyond “a good fit”: Examining effective mentorship for BIPOC practitioners in a predominantly white profession,1,,,0,,,,0
133,68,JASP,2023,35,1,Coming to voice: Intersections of identity for Olympic female African American sprinters,1,,,1,10,1,,0
134,69,JASP,2023,35,1,M?ori exercise professionals: Using Indigenous knowledge to connect the space between performance and wellbeing,1,,,1,10,1,,0
135,70,JASP,2023,35,2,"Athlete leader development: The perspectives of athlete leaders, teammates, and coaches",1,,,1,19,1,,0
136,71,JASP,2023,35,2,No regrets: Former collegiate student-athletes’ reflections on regret,1,,,1,15,1,,0
137,72,JASP,2023,35,2,Objective and subjective performance indicators of clutch performance in basketball: A mixed- methods multiple case study,1,,,1,4,1,,0
138,73,JASP,2023,35,2,Experiences of high school stakeholders and student-athletes participating in an ongoing longitudinal life skills training program,1,,,1,31,1,,0
139,74,JASP,2023,35,2,Navigating psychological membership in sport organizations: Exploring sport employees’ identities,1,,,1,18,1,,0
140,75,JASP,2023,35,2,Effects of a multifaceted team goal-setting intervention for youth volleyball teams,1,1,2,1,81,1,0,1
141,76,JASP,2023,35,2,Exploring former NCAA Division I college athletes’ experiences with post-sport physical activity: A qualitative approach,1,,,1,17,1,,0
142,77,JASP,2023,35,2,Development and preliminary validation of the sports competition rumination scale (SCRS),1,,,1,355,1,,0
143,78,JASP,2023,35,2,A randomized controlled study of mindful sport performance enhancement and psychological skills training with collegiate track and field athletes,1,1,2,1,30,1,0,1
144,79,JASP,2023,35,2,"Support for athletes with eating psychopathology symptoms: Exploring the views of athletes, coaches and sport practitioners",1,,,1,45,1,,0
145,80,JASP,2023,35,2,Gathering narratives: Athletes’ experiences preparing for the Tokyo summer olympic games during a global pandemic,1,,,1,20,1,,0
146,81,JASP,2023,35,3,"Professional training and development: The bedrock of ethical, competent, and sustainable sport psychology",1,,,0,,,,0
147,82,JASP,2023,35,3,UK professional male cricketers’ mental health and support experiences: A qualitative exploration,1,,,1,15,1,,0
148,83,JASP,2023,35,3,What about the family? Onboarding athletes’ entourage into professional sport organizations,1,,,1,22,1,,0
149,84,JASP,2023,35,3,A qualitative analysis of novice and expert mental performance consultants’ professional philosophies,1,,,1,18,1,,0
150,85,JASP,2023,35,3,Managing vulnerabilities in practitioner decision- making within sport psychology services:  Responding to the evidence base,1,,,0,,,,0
151,86,JASP,2023,35,3,Exploring runners’ perspectives of potential strategies for flow interventions,1,,,1,14,1,,0
152,87,JASP,2023,35,3,"Presentation of self, impression management and the period: A qualitative investigation of physically active women’s experiences in sport and exercise",1,,,1,25,1,,0
153,88,JASP,2023,35,3,Parental strategies for supporting children’s psychosocial development within and beyond elite sport,1,,,1,30,1,,0
154,89,JASP,2023,35,3,Building the “team behind the team”: A 21-month instrumental case study of the Swedish 2018 FIFA World Cup team,1,,,1,,,,0
155,90,JASP,2023,35,4,The Gold Medal Profile for Sport Psychology (GMP-SP),1,,,1,6,1,,0
156,91,JASP,2023,35,4,Women in a man’s world: Coaching women in elite sport,1,,,1,10,1,,0
157,92,JASP,2023,35,4,Conflict between a captain and star player: An ethnodrama of interpersonal conflict experiences,1,,,1,11,1,,0
158,93,JASP,2023,35,4,Improving identity leadership through a novel targeted reflective practice intervention,1,1,2,1,79,1,1,1
159,94,JASP,2023,35,4,Using a culturally humble approach to examine and address disordered eating in sport,1,,,0,,,,0
160,95,JASP,2023,35,4,Social support among older adults in group physical activity programs,1,,,1,295,1,,0
161,96,JASP,2023,35,4,Dialogue in athletics: A program evaluation of a social justice education initiative in high school sports,1,4,,1,24,0,,0
162,97,JASP,2023,35,4,The role and creation of pressure in training: Perspectives of athletes and sport psychologists,1,,,1,16,1,,0
163,98,JASP,2023,35,5,Construction and communication of evidence-based video narratives in elite sport: Knowledge translation of sports injury experiences,1,,,0,6,0,,0
164,99,JASP,2023,35,5,Construction and communication of evidence-based video narratives in elite sport: Knowledge translation of sports injury experiences,2,,,1,69,1,,0
165,100,JASP,2023,35,5,"Sports coaches’ depression literacy, and engagement in prevention and early intervention behaviors: A moderated mediation analysis",1,3,,1,1045,1,0,1
166,101,JASP,2023,35,5,Considering the cost(s) of the game: Consumer behavior and parents in youth ice hockey,1,,,1,15,1,,0
167,102,JASP,2023,35,5,Cultural diversity and group dynamics in a professional women’s volleyball team,1,,,1,11,1,,0
168,103,JASP,2023,35,5,How elite endurance athletes experience and manage exercise-induced pain: Implications for mental performance consultants,1,,,1,15,1,,0
169,104,JASP,2023,35,5,"Student-athletes’ mood state profiles: the role of sports, sex, and performance level in sports and in school",1,3,,1,444,1,0,1
170,105,JASP,2023,35,5,Psychological skills training and perfectionism: A single-subject multiple baseline study,1,,,1,5,1,0,0
171,106,JASP,2023,35,5,A qualitative exploration of neophyte sport psychology practitioners self-care experiences and perceptions,1,,,1,18,1,,0
172,107,JASP,2023,35,5,Confidentiality and surveillance challenges for psychologists working in men’s football academies in England,1,,,1,16,1,,0
173,108,JASP,2023,35,6,Cultural competence in a multinational group of sport psychology professionals,1,,,1,25,1,,0
174,109,JASP,2023,35,6,An inhibitory retrieval approach for maximizing exposure therapy in elite sport,1,,,0,,,,0
175,110,JASP,2023,35,6,Athletes’ perceptions of unsupportive parental behaviours in competitive female youth golf,1,,,1,61,1,,0
176,111,JASP,2023,35,6,What supports and what thwarts Olympic athlete well-being?: Coach and organizational perspectives,1,,,1,24,1,,0
177,112,JASP,2023,35,6,"Why do people cycle (a lot)? A multivariate approach on mental health, personality traits and motivation as determinants for cycling ambition",1,3,,1,2331,1,0,1
178,113,JASP,2023,35,6,Emotional intelligence training program for adolescents involved in intensive training centers,1,1,1,1,31,1,1,1
179,114,JASP,2023,35,6,Parents in the parasport pathway: Parental experiences of facilitating their child’s engagement in competitive disability sport,1,,,1,11,1,,0
180,1,JSEP,2022,44,1,“Negative Things That Kids Should Never Have to Hear”: Exploring Women’s Histories of Weight Stigma in Physical Activity,1,,,1,18,1,,0
181,2,JSEP,2022,44,1,Experience-Dependent Modulation of Rubber Hand Illusion in Badminton Players,1,2,,1,34,1,0,1
182,3,JSEP,2022,44,1,"Bulls in a China Shop: Narcissism, Intragroup Conflict, and Task Cohesion",1,3,,1,306,1,0,1
183,4,JSEP,2022,44,1,"Bulls in a China Shop: Narcissism, Intragroup Conflict, and Task Cohesion",2,3,,1,400,1,0,1
184,5,JSEP,2022,44,1,Application of the Multi-Process Action Control Model to Predict Physical Activity During Late Adolescence,1,3,,1,1176,1,0,1
185,6,JSEP,2022,44,1,Determinants of Virtual Exercise Equipment Use: An Integrated Model Investigation,1,3,,1,123,1,1,1
186,7,JSEP,2022,44,1,The Home Advantage in the National Basketball Association Conference Finals and Finals Series From 1979 to 2019: A Mediation Analysis of Offensive and Defensive Skills,1,,,1,,,,0
187,8,JSEP,2022,44,1,"Understanding Relationships Between Social Identity, Sport Enjoyment, and Dropout in Adolescent Girl Athletes",1,3,,1,150,1,0,1
188,9,JSEP,2022,44,2,"The Influence of Social Contexts on Motor and Cognitive Performance: Performing Alone, in Front of Others, or Coacting With Others",1,1,2,1,33,1,1,1
189,10,JSEP,2022,44,2,"The Influence of Social Contexts on Motor and Cognitive Performance: Performing Alone, in Front of Others, or Coacting With Others",2,1,2,1,42,1,1,1
190,11,JSEP,2022,44,2,"Effects of Cooperation and Competition on Performance, Emotion, and Effort: Goal and Means Interdependence",1,1,2,1,56,1,1,1
191,12,JSEP,2022,44,2,A Temporal Study on Coach Behavior Profiles: Relationships With Athletes Coping and Affects Within Sport Competition,1,3,,1,306,1,0,1
192,13,JSEP,2022,44,2,Effectiveness of Individual Exercise and Sport Counseling Based on Motives and Goals: A Randomized Controlled Trial,1,1,2,1,129,1,1,1
193,14,JSEP,2022,44,2,Attention-Deficit/Hyperactivity Disorder-Related Self-Reported Symptoms Are Associated With Elevated Concussion Symptomatology,1,3,,1,99,1,0,1
194,15,JSEP,2022,44,2,The Defender’s Vision—Gaze Behavior of One-on-One Defenders in Basketball,1,2,,1,32,1,1,1
195,16,JSEP,2022,44,2,“I Do What I Like”: 8- to 10-Year-Old Children’s Physical Activity Behavior Is Already Interrelated With Their Automatic Affective Processes,1,3,,1,48,1,1,1
196,17,JSEP,2022,44,3,Athlete Burnout Symptoms Are Increasing: A Cross-Temporal Meta-Analysis of Average Levels From 1997 to 2019,1,,,1,,,,0
197,18,JSEP,2022,44,3,Transition-Related Psychosocial Factors and Mental Health Outcomes in Former National Football League Players: An NFL-LONG Study,1,3,,1,1784,1,0,1
198,19,JSEP,2022,44,3,Glimpsing the Impossible: How Artificially Enhanced Targets Improve Elite Performance,1,,,1,,,,0
199,20,JSEP,2022,44,3,"Relationships Between Physical Activity, Boredom Proneness, and Subjective Well-Being Among U.K. AdultsDuring the COVID-19 Pandemic",1,3,,1,1521,1,1,1
200,21,JSEP,2022,44,3,Positive Implicit Associations for Physical Activity Predict Physical Activity and Affective Responses During Exercise,1,3,,1,50,1,1,1
201,22,JSEP,2022,44,3,Pulling the Trigger: The Effect of a 5-Minute Slow Diaphragmatic Breathing Intervention on Psychophysiological Stress Responses and Pressurized Pistol Shooting Performance,1,1,2,1,67,1,1,1
202,23,JSEP,2022,44,3,Attitudes of Sport Fans Toward the Electronic Sign-Stealing Scandal in Major League Baseball: Differing Associations With Perfectionism and Excellencism,1,3,,1,321,1,1,1
203,24,JSEP,2022,44,4,Longitudinal Associations Between Athletes’ Psychological Needs and Burnout Across a Competitive Season: A Latent Difference Score Analysis,1,3,,1,184,1,0,1
204,25,JSEP,2022,44,4,Children’s Motivation Profiles in Sports and Physical Activities: A Latent Profile Analysis and Self-Determination Theory Approach,1,3,,1,1116,1,0,1
205,26,JSEP,2022,44,4,Modeling Players’ Scanning Activity in Football,1,,,1,,,,0
206,27,JSEP,2022,44,4,Brain Stimulation Over the Motion-Sensitive Midtemporal Area Reduces Deleterious Effects of Mental Fatigue on Perceptual–Cognitive Skills in Basketball Players,1,1,2,1,20,1,1,1
207,28,JSEP,2022,44,4,The Influence of Affective Priming on the Affective Response During Exercise: A Replication Study,1,1,2,1,53,1,1,1
208,29,JSEP,2022,44,4,"How Much Do Severely Injured Athletes Experience Sport Injury-Related Growth? Contrasting Psychological, Situational, and Demographic Predictors",1,3,,1,335,1,0,1
209,30,JSEP,2022,44,5,Collective Emotions in Doubles Table Tennis,1,3,,1,68,1,1,1
210,31,JSEP,2022,44,5,A Perception–Action Assessment of the Functionality of Peripheral Vision in Expert and Novice Australian Footballers,1,2,,1,48,1,0,1
211,32,JSEP,2022,44,5,Social Support and Body Image in Group Physical Activity Programs for Older Women,1,,,1,14,1,,0
212,33,JSEP,2022,44,5,Neural Activity During Imagery Supports Three Imagery Abilities as Measured by the Movement Imagery Questionnaire-3,1,,,1,14,0,0,0
213,34,JSEP,2022,44,5,MAN v FAT Soccer: Feasibility Study and Preliminary Efficacy of a Sport-Based Weight-Loss Intervention for Overweight and Obese Men in Australia,1,1,1,1,418,1,0,1
214,35,JSEP,2022,44,5,Skill-Based Differences in the Detection and Utilization of Opponent Action Preferences Following Increasing Exposure and Changes in Tendencies,1,2,,1,28,1,1,1
